CLL,NDVI,CVI,GNDVI,NRVI,RVI,GCI
114.51,0.227151057,1.45821087,0.51974354,0.227151057,1.58946134,1.519887714
111.03,0.23247487,1.504808033,0.550757991,0.23247487,1.607122691,1.550892755
117.61,0.22724104,1.433649561,0.505361887,0.22724104,1.589634463,1.505503545
103.48,0.229359942,1.445648323,0.515254541,0.229359942,1.596563858,1.515391674
132.56,0.228473656,1.515316818,0.550987165,0.228473656,1.593706075,1.551143041
116.49,0.227986635,1.471969816,0.527488728,0.227986635,1.592174148,1.527620084
96.07,0.233213912,1.518726828,0.559292772,0.233213912,1.609857353,1.559428324
117.76,0.231169554,1.549494259,0.572523009,0.231169554,1.603163535,1.572673758
109.71,0.225644921,1.472246176,0.523361028,0.225644921,1.584424539,1.523486589
104.41,0.229379072,1.456346651,0.521475262,0.229379072,1.596693362,1.521607395
114.87,0.229107634,1.3224035,0.449580945,0.229107635,1.595472587,1.449690319
121.15,0.231771952,1.475482073,0.535966566,0.231771952,1.604708717,1.536102731
127.8,0.231012144,1.420466098,0.504737012,0.231012144,1.602199525,1.50487313
119.99,0.233491818,1.554180926,0.577934515,0.233491818,1.610733686,1.578073837
108.88,0.228528762,1.515657152,0.550757902,0.228528762,1.594983112,1.550907803
126.22,0.232940395,1.491400284,0.545779991,0.232940395,1.608818424,1.545920662
127.04,0.231110732,1.48033754,0.536209592,0.231110732,1.602632251,1.536347674
125.37,0.232235895,1.475100227,0.535281276,0.232235895,1.606621704,1.535429793
108.87,0.232524389,1.530841432,0.563896533,0.232524389,1.607221725,1.564029031
113.48,0.233984945,1.434846426,0.516536265,0.233984945,1.612580986,1.516682044
144.16,0.236782923,1.596597226,0.605850262,0.236782923,1.621778144,1.606009186
136.72,0.236353584,1.64188915,0.627462149,0.236353585,1.620915672,1.627632811
116.67,0.234307706,1.620920084,0.61502383,0.234307706,1.613943071,1.615195133
120.58,0.229709587,1.422144927,0.502442072,0.229709587,1.597505854,1.502562781
130.17,0.230428604,1.495878863,0.544585516,0.230428604,1.599791808,1.544726701
130.33,0.231660981,1.547190525,0.572486129,0.231660981,1.604068921,1.572629896
143.55,0.227471743,1.541093439,0.563449975,0.227471744,1.590591012,1.5635949
135.05,0.227597436,1.414509859,0.496794013,0.227597436,1.590994259,1.496920906
126.78,0.229651123,1.547861025,0.569636924,0.229651123,1.59864762,1.569808947
117.95,0.212747912,1.259196113,0.390106421,0.212747912,1.541480834,1.390198042
117.81,0.226937712,1.409737792,0.489842768,0.226937712,1.58919608,1.489984963
110.43,0.225247475,1.499765876,0.537391522,0.225247475,1.58288062,1.537513962
124.83,0.224126466,1.423054552,0.495051943,0.224126467,1.579153538,1.495164501
142.94,0.22733717,1.38961837,0.48276338,0.22733717,1.590154121,1.482901956
140.4,0.232754403,1.55691208,0.579621915,0.232754403,1.608175807,1.579777768
114.58,0.238740132,1.607450228,0.613232253,0.238740132,1.630464954,1.613431144
137.07,0.237049743,1.631462236,0.621581532,0.237049743,1.624381401,1.621784606
154.26,0.227663408,1.444007691,0.512361937,0.227663408,1.591750371,1.512518537
153.46,0.232127787,1.399698706,0.494202951,0.232127787,1.606275504,1.494366231
135.41,0.238489488,1.452628539,0.534050045,0.238489488,1.627837724,1.534240783
133.44,0.23642506,1.486497595,0.54955086,0.23642506,1.620663426,1.549752554
137.59,0.233076882,1.311794681,0.447623372,0.233076882,1.609194748,1.447795231
147.67,0.229728532,1.315217675,0.44559291,0.229728533,1.598709447,1.445773349
117.64,0.22768724,1.413443119,0.494205271,0.22768724,1.590862219,1.494361858
117.81,0.226692285,1.386099742,0.480380014,0.226692285,1.587522007,1.48053521
129.89,0.226654455,1.38217193,0.478727341,0.226654455,1.587225573,1.478876867
132.32,0.230433183,1.410068577,0.49980885,0.230433183,1.59993795,1.499957187
128.44,0.233009984,1.526879612,0.565249215,0.233009984,1.608327171,1.565398166
147.71,0.223764145,1.422854637,0.495328419,0.223764145,1.578726923,1.495483108
129.36,0.233843033,1.491939883,0.545247366,0.233843033,1.612761714,1.54543045
116.25,0.231507133,1.491582792,0.541424443,0.231507133,1.604723506,1.541591192
127.04,0.236735315,1.544327839,0.578282423,0.236735315,1.622482718,1.57847531
133.59,0.232307172,1.536267256,0.56819093,0.232307172,1.607054641,1.568372621
97.06,0.228409156,1.394379224,0.485880864,0.228409156,1.593738727,1.486016543
139.91,0.237949874,1.54200124,0.578080768,0.237949874,1.626345117,1.578293336
97.43,0.236460051,1.553363549,0.582688623,0.236460052,1.620581878,1.5828863
112.28,0.23528264,1.420051073,0.509728508,0.23528264,1.617222159,1.509954253
117.72,0.230177109,1.447912173,0.517434215,0.230177109,1.599280028,1.517602869
